p e cs2 p_norm muB X n gamma
1.9240000e+02 8.7430000e+02 2.8970000e-01 4.7050000e-01 1.3520000e+03 2.9000000e+00 6.0528000e-03 1.6061486e+00
1.9500000e+02 8.8320000e+02 2.8980000e-01 4.7220000e-01 1.3560000e+03 2.9000000e+00 6.1024000e-03 1.6023711e+00
1.9760000e+02 8.9210000e+02 2.8990000e-01 4.7400000e-01 1.3590000e+03 2.9000000e+00 6.1536000e-03 1.5987046e+00
2.0020000e+02 9.0110000e+02 2.9000000e-01 4.7570000e-01 1.3620000e+03 2.9000000e+00 6.2048000e-03 1.5952897e+00
2.0290000e+02 9.1030000e+02 2.9020000e-01 4.7740000e-01 1.3650000e+03 2.9000000e+00 6.2560000e-03 1.5921668e+00
2.0550000e+02 9.1950000e+02 2.9030000e-01 4.7910000e-01 1.3690000e+03 2.9000000e+00 6.3072000e-03 1.5892336e+00
2.0820000e+02 9.2880000e+02 2.9040000e-01 4.8080000e-01 1.3720000e+03 2.9000000e+00 6.3600000e-03 1.5859020e+00
2.1100000e+02 9.3820000e+02 2.9050000e-01 4.8240000e-01 1.3750000e+03 2.9000000e+00 6.4112000e-03 1.5821924e+00
2.1370000e+02 9.4770000e+02 2.9070000e-01 4.8410000e-01 1.3790000e+03 2.9000000e+00 6.4656000e-03 1.5798736e+00
2.1650000e+02 9.5730000e+02 2.9080000e-01 4.8570000e-01 1.3820000e+03 2.9000000e+00 6.5184000e-03 1.5766330e+00
2.1930000e+02 9.6700000e+02 2.9090000e-01 4.8740000e-01 1.3850000e+03 2.9000000e+00 6.5712000e-03 1.5736191e+00
2.2220000e+02 9.7680000e+02 2.9110000e-01 4.8900000e-01 1.3880000e+03 2.9000000e+00 6.6256000e-03 1.5707871e+00
2.2510000e+02 9.8670000e+02 2.9120000e-01 4.9060000e-01 1.3920000e+03 2.9000000e+00 6.6800000e-03 1.5676418e+00
2.2800000e+02 9.9670000e+02 2.9130000e-01 4.9230000e-01 1.3950000e+03 2.9000000e+00 6.7360000e-03 1.5647154e+00
2.3090000e+02 1.0070000e+03 2.9140000e-01 4.9390000e-01 1.3980000e+03 2.9000000e+00 6.7920000e-03 1.5622523e+00
2.3390000e+02 1.0170000e+03 2.9160000e-01 4.9550000e-01 1.4020000e+03 2.9000000e+00 6.8464000e-03 1.5594803e+00
2.3690000e+02 1.0270000e+03 2.9170000e-01 4.9710000e-01 1.4050000e+03 2.9000000e+00 6.9040000e-03 1.5562669e+00
2.3990000e+02 1.0380000e+03 2.9180000e-01 4.9870000e-01 1.4080000e+03 2.9000000e+00 6.9600000e-03 1.5543611e+00
